nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
MCM,MCM Collection Jolly Rabbit,2680000,0,1
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,2250000,0,1
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,2850000,0,1
Armani Beauty,Si Eau De Parfum,2990000,0,1
Armani Beauty,Acqua Di Giò Parfum,1700000,0,1
Armani Beauty,Stronger With You Parfum,2485000,0,1
Armani Beauty,My Way Le Parfum,2255000,0,1
Ferragamo,FIAMMA,1380000,0,1
Jo Malone London,Cologne Discovery Collection Set,375000,221,1
Kylie Cosmetics,Cosmic 2.0 Eau De Parfum,990000,32,4
Armani Beauty,Acqua Di Gio Profondo Eau De Parfum,1550000,1,2
Jo Malone London,Peony & Blush Suede Cologne,500000,1244,4
Versace,Bright Crystal Ovetto Eau De Toilette,420000,2163,1
Jo Malone London,Raspberry Ripple Cologne (Limited Edition),1525000,9,3
DIOR,J’adore Eau de Parfum Women’s Fragrance - Solar and Floral Notes,1850000,3480,3
Tom Ford Beauty,Soleil Blanc Eau De Parfum,5490000,1559,3
Billie Eilish,Your Turn Eau De Parfum,1510000,5,2
Sol de Janeiro,Beija Flor Jet Set,685000,901,1
Kayali,Vanilla Mini Duo (Limited Edition),590000,1,1
Kylie Cosmetics,Cosmic Kylie Jenner Eau de Parfum,1150000,247,4
Billie Eilish,Eilish No.2 Eau De Parfum,924000,110,4
Rare Beauty,Find Comfort Mini Lotion & Fragrance Set,396600,177,1
HERMÈS,Twilly d'Hermes Eau de Parfum,1385000,279,1
Billie Eilish,Eilish Eau De Parfum,995000,1079,4
Burberry Beauty,Her Eau De Parfum,600000,1523,4
Jean Paul Gaultier,Le Male Elixir Absolu,3450000,179,2
DIOR,Sauvage Eau De Parfum,2600000,1282,2
Burberry Beauty,Her Eau De Parfum Intense,1944000,620,2
DIOR,Sauvage Eau De Toilette,2200000,1322,3
Burberry Beauty,My Burberry Blush Eau De Parfum,3330000,370,2
HERMÈS,Twilly d'Hermes Eau Poivree Eau de Parfum,2060000,72,3
Armani Beauty,My Way Eau De Parfum Spring Set,2950000,3,1
Versace,Eros Men Eau de Toilette,324000,630,2
Yves Saint Laurent,Libre Hair Mist,1100000,9,1
Yves Saint Laurent,Libre Eau De Parfum,3250000,4148,2
Kylie Cosmetics,2-Pc. Cosmic Kylie Jenner Eau de Parfum Gift Set,850000,0,1
DIOR,Miss Dior Rose N'Roses,2000000,1505,2
Sol de Janeiro,Cheirosa 62 Perfume Mist,839000,895,2
