nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
Jo Malone London,Cologne Discovery Collection Set,Rp 375.000,"
        (221)
      ",
Kylie Cosmetics,Cosmic 2.0 Eau De Parfum,Rp 990.000,"
        (32)
      ","
        4 sizes
      "
Armani Beauty,Acqua Di Gio Profondo Eau De Parfum,Rp 1.550.000,"
        (1)
      ","
        2 sizes
      "
Jo Malone London,Peony & Blush Suede Cologne,Rp 500.000,"
        (1244)
      ","
        4 sizes
      "
Versace,Bright Crystal Ovetto Eau De Toilette,Rp 420.000,"
        (2163)
      ",
Jo Malone London,Raspberry Ripple Cologne (Limited Edition),Rp 1.525.000,"
        (9)
      ","
        3 sizes
      "
DIOR,J’adore Eau de Parfum Women’s Fragrance - Solar and Floral Notes,Rp 1.850.000,"
        (3480)
      ","
        3 sizes
      "
Tom Ford Beauty,Soleil Blanc Eau De Parfum,Rp 5.490.000,"
        (1559)
      ","
        3 sizes
      "
Billie Eilish,Your Turn Eau De Parfum,Rp 1.510.000,"
        (5)
      ","
        2 sizes
      "
Sol de Janeiro,Beija Flor Jet Set,Rp 685.000,"
        (901)
      ",
Kayali,Vanilla Mini Duo (Limited Edition),Rp 590.000,"
        (1)
      ",
Kylie Cosmetics,Cosmic Kylie Jenner Eau de Parfum,Rp 1.150.000,"
        (247)
      ","
        4 sizes
      "
Billie Eilish,Eilish No.2 Eau De Parfum,Rp 924.000,"
        (110)
      ","
        4 sizes
      "
Rare Beauty,Find Comfort Mini Lotion & Fragrance Set,Rp 396.600,"
        (177)
      ",
HERMÈS,Twilly d'Hermes Eau de Parfum,Rp 1.385.000,"
        (279)
      ",
Billie Eilish,Eilish Eau De Parfum,Rp 995.000,"
        (1079)
      ","
        4 sizes
      "
Burberry Beauty,Her Eau De Parfum,Rp 600.000,"
        (1523)
      ","
        4 sizes
      "
Jean Paul Gaultier,Le Male Elixir Absolu,Rp 3.450.000,"
        (179)
      ","
        2 sizes
      "
